okres,nazov_okresu,kraj2,nezam_celk,nezam_odch,vpm
101,Bratislava I,ba,3.32,-3.8400000000000003,0.2272748494327466
102,Bratislava II,ba,3.86,-3.3000000000000003,0.2272748494327466
103,Bratislava III,ba,3.99,-3.17,0.2272748494327466
104,Bratislava IV,ba,3.9,-3.2600000000000002,0.2272748494327466
105,Bratislava V,ba,2.88,-4.28,0.2272748494327466
106,Malacky,ba_okolie,4.28,-2.88,0.03726831317988701
107,Pezinok,ba_okolie,5.15,-2.01,0.00347822027172136
108,Senec,ba_okolie,4.99,-2.17,0.02643680844110369
201,Dunajská Streda,tt_okolie,5.36,-1.7999999999999998,0.0206708996685186
202,Galanta,tt_okolie,4.2,-2.96,0.03787525094542228
203,Hlohovec,tt_okolie,3.41,-3.75,0.01623558522806853
204,Piešťany,tt_okolie,3.42,-3.74,0.01251225547411177
205,Senica,tt_okolie,6.84,-0.3200000000000003,0.00587095569354311
206,Skalica,tt_okolie,3.97,-3.19,0.02571315187450394
207,Trnava,tt,3.51,-3.6500000000000004,0.04542695737429385
301,Bánovce nad Bebravou,tn_okolie,4.72,-2.4400000000000004,0.00398011111629861
302,Ilava,tn_okolie,3.2,-3.96,0.01367944348475652
303,Myjava,tn_okolie,4.54,-2.62,0.00527568980811429
304,Nové Mesto nad Váhom,tn_okolie,3.91,-3.25,0.03227274849432746
305,Partizánske,tn_okolie,4.34,-2.8200000000000003,0.00316307950884728
306,Považská Bystrica,tn_okolie,5.21,-1.9500000000000002,0.0176011952005229
307,Prievidza,tn_okolie,5.88,-1.2800000000000002,0.01813810168541948
308,Púchov,tn_okolie,3.76,-3.4000000000000004,0.00685139362248471
309,Trenčín,tn,2.99,-4.17,0.0289929501844157
401,Komárno,nr_okolie,6.86,-0.2999999999999998,0.01275736495634716
402,Levice,nr_okolie,5.71,-1.4500000000000002,0.01029459825388673
403,Nitra,nr,3.45,-3.71,0.07213221905784584
404,Nové Zámky,nr_okolie,5.67,-1.4900000000000002,0.01762453896073579
405,Šaľa,nr_okolie,4.2,-2.96,0.00431859563938559
406,Topoľčany,nr_okolie,5.13,-2.0300000000000002,0.01750782015967131
407,Zlaté Moravce,nr_okolie,3.95,-3.21,0.00340818899108268
501,Bytča,za_okolie,6.44,-0.7199999999999998,0.00208926653905411
502,Čadca,za_okolie,6.12,-1.04,0.00814697231430038
503,Dolný Kubín,za_okolie,6.05,-1.1100000000000003,0.00622111209673654
504,Kysucké Nové Mesto,za_okolie,6.62,-0.54,0.0061627526962043
505,Liptovský Mikuláš,za_okolie,6.37,-0.79,0.01060973901676082
506,Martin,za_okolie,4.74,-2.42,0.0101895513329287
507,Námestovo,za_okolie,5.05,-2.1100000000000003,0.00898734768196461
508,Ružomberok,za_okolie,6.55,-0.6100000000000003,0.00438862692002427
509,Turčianske Teplice,za_okolie,6.86,-0.2999999999999998,0.00158737569447686
510,Tvrdošín,za_okolie,4.61,-2.55,0.00870722255940987
511,Žilina,za,4.86,-2.3,0.03607778140902936
601,Banská Bystrica,bb,4.74,-2.42,0.01939866473691582
602,Banská Štiavnica,bb_okolie,8.58,1.42,0.00176245389607357
603,Brezno,bb_okolie,8.29,1.129999999999999,0.00252112610299267
604,Detva,bb_okolie,6.52,-0.6400000000000006,0.00150567253373173
605,Krupina,bb_okolie,8.33,1.17,0.01595546010551379
606,Lučenec,bb_okolie,12.37,5.209999999999999,0.0026028292637378
607,Poltár,bb_okolie,13.54,6.379999999999999,2.9179700266118e-4
608,Revúca,bb_okolie,21.01,13.850000000000001,0.00246276670246043
609,Rimavská Sobota,bb_okolie,21.82,14.66,0.00476212708343059
610,Veľký Krtíš,bb_okolie,9.6,2.4399999999999995,0.00183248517671226
611,Zvolen,bb_okolie,5.12,-2.04,0.00553247117045613
612,Žarnovica,bb_okolie,8.21,1.0500000000000007,0.00417853307810822
613,Žiar nad Hronom,bb_okolie,6.17,-0.9900000000000002,0.00463373640225967
701,Bardejov,po_okolie,13.33,6.17,0.00810028479387459
702,Humenné,po_okolie,8.37,1.209999999999999,0.00492553340492086
703,Kežmarok,po_okolie,18.76,11.600000000000001,0.00384004855502124
704,Levoča,po_okolie,11.42,4.26,0.00113217237032541
705,Medzilaborce,po_okolie,14.23,7.07,3.1514076287408e-4
706,Poprad,po_okolie,7.2,0.040000000000000036,0.01111162986133806
707,Prešov,po,9.19,2.0299999999999994,0.00952425416686119
708,Sabinov,po_okolie,16.26,9.100000000000001,0.00245109482235398
709,Snina,po_okolie,9.54,2.379999999999999,0.00183248517671226
710,Stará Ľubovňa,po_okolie,8.56,1.4000000000000004,0.00398011111629861
711,Stropkov,po_okolie,12.66,5.5,0.00122554741117699
712,Svidník,po_okolie,13.3,6.140000000000001,0.0042485643587469
713,Vranov nad Topľou,po_okolie,16.59,9.43,0.00492553340492086
801,Gelnica,ke_okolie,12.63,5.470000000000001,0.00105046920958027
802,Košice I,ke,5.93,-1.2300000000000004,0.01988888370138661
803,Košice II,ke,5.91,-1.25,0.01988888370138661
804,Košice III,ke,4.58,-2.58,0.01988888370138661
805,Košice IV,ke,5.15,-2.01,0.01988888370138661
806,Košice - okolie,ke_okolie,12.2,5.039999999999999,0.00312806386852794
807,Michalovce,ke_okolie,14.55,7.390000000000001,0.00821700359493907
808,Rožňava,ke_okolie,16.74,9.579999999999998,0.00170409449554134
809,Sobrance,ke_okolie,16.42,9.260000000000002,0.00107381296979317
810,Spišská Nová Ves,ke_okolie,10.22,3.0600000000000005,0.00612773705588496
811,Trebišov,ke_okolie,13.91,6.75,0.00382837667491479
